freq,sex,wstatus,unit,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,M,EMP,PC_POP,PT	8.72 	9.50 	9.64 	10.93 
A,M,EMP,PC_POP,RO	8.08 	8.80 	8.39 	8.76 
A,M,EMP,PC_POP,SE	17.17 	18.04 	18.60 	18.99 
A,M,EMP,PC_POP,SI	16.56 	15.69 	12.42 b	12.56 
A,M,EMP,PC_POP,SK	11.28 	11.58 	11.65 	11.50 
A,M,EMP,THS_PER,AT	434.3 	454.9 	468.2 	459.1 
A,M,EMP,THS_PER,BE	402.6 	419.6 	429.5 	416.2 
A,M,EMP,THS_PER,BG	168.3 	177.4 	182.8 	188.7 b
A,M,EMP,THS_PER,CY	35.1 	36.8 	40.9 	39.6 
A,M,EMP,THS_PER,CZ	340.3 	295.1 	286.3 	319.5 
A,M,EMP,THS_PER,DE	3827.7 	3940.4 	3988.3 	4105.9 
A,M,EMP,THS_PER,DK	188.7 	177.8 	194.3 b	218.7 
A,M,EMP,THS_PER,EE	53.8 	56.7 	55.5 	53.2 
A,M,EMP,THS_PER,EL	307.0 	281.9 	299.4 	289.2 
A,M,EMP,THS_PER,ES	2004.0 d	2089.8 d	2148.0 d	2112.1 d
A,M,EMP,THS_PER,FI	249.7 	256.0 	269.6 	259.2 
A,M,EMP,THS_PER,FR	2489.3 d	2457.5 d	2580.8 d	2638.3 d
A,M,EMP,THS_PER,HR	84.8 	82.5 	88.0 	98.1 
A,M,EMP,THS_PER,HU	285.1 	283.4 	277.8 	279.2 
A,M,EMP,THS_PER,IE	213.7 	248.0 	276.7 	301.7 
A,M,EMP,THS_PER,IT	842.1 	859.9 	950.4 	1003.7 
A,M,EMP,THS_PER,LT	136.8 	141.7 	143.9 	144.2 
A,M,EMP,THS_PER,LU	27.2 	27.4 	29.4 	30.2 
A,M,EMP,THS_PER,LV	55.1 	53.9 	60.9 	56.4 
A,M,EMP,THS_PER,MT	17.3 	16.5 	19.2 	21.0 
A,M,EMP,THS_PER,NL	609.1 	646.6 	621.7 	655.8 
A,M,EMP,THS_PER,PL	1104.8 	1126.3 	1231.5 	1315.0 
A,M,EMP,THS_PER,PT	210.5 	237.4 	245.4 	281.4 
A,M,EMP,THS_PER,RO	365.1 	395.0 	369.9 	393.6 
A,M,EMP,THS_PER,SE	458.7 	496.2 	515.7 	521.2 
A,M,EMP,THS_PER,SI	87.2 	84.0 	66.7 b	68.3 
A,M,EMP,THS_PER,SK	153.3 	159.7 	161.0 	160.6 
A,M,INAC,PC_POP,AT	10.88 	11.74 	11.15 	11.30 
A,M,INAC,PC_POP,BE	5.91 	5.79 	6.11 	5.72 
A,M,INAC,PC_POP,BG	4.80 	4.06 	4.32 	4.22 b
A,M,INAC,PC_POP,CY	6.63 	7.04 	7.44 	7.11 
A,M,INAC,PC_POP,CZ	5.09 	3.80 	3.87 	4.54 
A,M,INAC,PC_POP,DE	11.07 	11.24 	11.35 	11.93 
A,M,INAC,PC_POP,DK	5.56 	5.79 	5.03 b	5.17 
A,M,INAC,PC_POP,EE	8.12 	10.05 	7.67 	7.84 
A,M,INAC,PC_POP,EL	7.90 	5.56 	6.34 	5.98 
A,M,INAC,PC_POP,ES	8.22 d	7.30 d	8.23 d	8.01 d
A,M,INAC,PC_POP,FI	7.57 	8.20 	9.12 	9.52 
A,M,INAC,PC_POP,FR	6.31 d	6.21 d	6.52 d	6.06 d
A,M,INAC,PC_POP,HR	5.08 	4.24 	4.83 	5.12 
A,M,INAC,PC_POP,HU	5.35 	4.99 	4.44 	4.85 
A,M,INAC,PC_POP,IE	4.86 	4.95 	6.30 	8.12 
A,M,INAC,PC_POP,IT	2.66 	2.59 	2.87 	2.81 
A,M,INAC,PC_POP,LT	7.38 	6.99 	6.95 	6.92 
A,M,INAC,PC_POP,LU	7.29 	7.94 	8.00 	8.86 
A,M,INAC,PC_POP,LV	4.91 	5.20 	6.58 	6.42 
A,M,INAC,PC_POP,MT	2.99 	4.17 	3.61 u	1.64 u
A,M,INAC,PC_POP,NL	7.89 	7.41 	7.39 	7.68 
A,M,INAC,PC_POP,PL	3.73 	3.65 	4.33 	4.25 
A,M,INAC,PC_POP,PT	3.77 	3.49 	4.28 	3.92 
A,M,INAC,PC_POP,RO	3.13 	3.14 	2.80 	3.02 
A,M,INAC,PC_POP,SE	6.48 	6.17 	5.66 	5.57 
A,M,INAC,PC_POP,SI	6.67 	6.15 	4.10 b	4.12 
A,M,INAC,PC_POP,SK	6.02 	5.44 	5.97 	5.67 
A,M,INAC,THS_PER,AT	97.9 	105.4 	100.4 	104.0 
A,M,INAC,THS_PER,BE	89.0 	86.3 	91.5 	85.1 
A,M,INAC,THS_PER,BG	39.0 	31.2 	32.7 	32.4 b
A,M,INAC,THS_PER,CY	5.3 	5.6 	6.1 	5.9 
A,M,INAC,THS_PER,CZ	55.1 	39.7 	40.0 	46.5 
A,M,INAC,THS_PER,DE	904.2 	903.3 	916.3 	961.3 
