freq,unit,age,sex,isced11,geo\TIME_PERIOD	2021 	2022 	2023 	2024 
A,NR,TOTAL,F,ED7,SI	14518 	14365 	14265 	14751 
A,NR,TOTAL,F,ED7,SK	29966 	29532 	28483 	28817 
A,NR,TOTAL,F,ED7,TR	254181 	271386 	316694 	316226 
A,NR,TOTAL,F,ED74,AL	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,AT	77786 	80490 	82644 	86443 
A,NR,TOTAL,F,ED74,BA	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,BE	65783 	68830 	70371 	68358 
A,NR,TOTAL,F,ED74,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,CH	40779 	43058 	43150 	44386 
A,NR,TOTAL,F,ED74,CY	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,CZ	64509 	66840 	65917 	66334 
A,NR,TOTAL,F,ED74,DE	609172 	621803 	622519 	621261 
A,NR,TOTAL,F,ED74,DK	36974 	36503 	36183 	36448 
A,NR,TOTAL,F,ED74,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,EL	58395 	64304 	66219 	67229 
A,NR,TOTAL,F,ED74,ES	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,FI	: d	: m	: m	: m
A,NR,TOTAL,F,ED74,FR	9945 	10176 	10674 	11258 
A,NR,TOTAL,F,ED74,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED74,HR	36923 	37274 	36951 	36187 
A,NR,TOTAL,F,ED74,HU	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,IE	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,IS	: d	: d	: d	: 
A,NR,TOTAL,F,ED74,IT	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,LI	122 	119 	: 	: 
A,NR,TOTAL,F,ED74,LT	16148 	16305 	16068 	15627 
A,NR,TOTAL,F,ED74,LU	665 	655 	661 	706 
A,NR,TOTAL,F,ED74,LV	2760 	2847 	2806 	2888 
A,NR,TOTAL,F,ED74,ME	1964 	: 	2678 	2779 
A,NR,TOTAL,F,ED74,MK	2030 	2039 	1970 	1787 
A,NR,TOTAL,F,ED74,MT	2043 	2014 	2375 	2486 
A,NR,TOTAL,F,ED74,NL	101300 	99387 	94532 	94307 
A,NR,TOTAL,F,ED74,NO	55669 	59892 	60045 	61680 
A,NR,TOTAL,F,ED74,PL	231935 	233440 	239385 	242165 
A,NR,TOTAL,F,ED74,PT	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,RO	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,RS	29643 	30510 	30485 	30949 
A,NR,TOTAL,F,ED74,SE	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,SI	: m	: m	: m	: m
A,NR,TOTAL,F,ED74,SK	: d	: d	: d	: d
A,NR,TOTAL,F,ED74,TR	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,AL	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,AT	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,BA	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,BE	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,BG	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,CH	1499 	1574 	1446 	1546 
A,NR,TOTAL,F,ED75,CY	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,CZ	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,DE	: m	10 	140 	460 
A,NR,TOTAL,F,ED75,DK	2298 	2443 	2614 	2516 
A,NR,TOTAL,F,ED75,EE	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,EL	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,ES	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,FI	: d	: m	: m	: m
A,NR,TOTAL,F,ED75,FR	333314 	341345 	339856 	344775 
A,NR,TOTAL,F,ED75,GE	: 	: 	: m	: m
A,NR,TOTAL,F,ED75,HR	3826 	4037 	4098 	4140 
A,NR,TOTAL,F,ED75,HU	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,IE	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,IS	: d	: d	: d	: 
A,NR,TOTAL,F,ED75,IT	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,LI	0 	0 	: 	: 
A,NR,TOTAL,F,ED75,LT	1346 	1374 	1400 	1373 
A,NR,TOTAL,F,ED75,LU	834 	810 	937 	950 
A,NR,TOTAL,F,ED75,LV	8497 	8107 	7010 	7130 
A,NR,TOTAL,F,ED75,ME	83 	: 	252 	288 
A,NR,TOTAL,F,ED75,MK	231 	303 	216 	315 
A,NR,TOTAL,F,ED75,MT	1537 	1684 	1768 	1637 
A,NR,TOTAL,F,ED75,NL	11139 	15998 	12711 	11183 
A,NR,TOTAL,F,ED75,NO	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,PL	56725 	67388 	64338 	71958 
A,NR,TOTAL,F,ED75,PT	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,RO	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,RS	2309 	2928 	2991 	2998 
A,NR,TOTAL,F,ED75,SE	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,SI	: m	: m	: m	: m
A,NR,TOTAL,F,ED75,SK	: d	: d	: d	: d
A,NR,TOTAL,F,ED75,TR	: m	: m	: m	: m
A,NR,TOTAL,F,ED8,AL	1228 	281 	123 	756 
A,NR,TOTAL,F,ED8,AT	8898 	9127 	9179 	9334 
A,NR,TOTAL,F,ED8,BA	602 	683 	674 	708 
A,NR,TOTAL,F,ED8,BE	8798 	9216 	9557 	9971 
A,NR,TOTAL,F,ED8,BG	3455 	3399 	3423 	2725 bd
A,NR,TOTAL,F,ED8,CH	12821 	13229 	13288 	13255 
A,NR,TOTAL,F,ED8,CY	979 	974 	1168 	940 
A,NR,TOTAL,F,ED8,CZ	9645 	9509 	9241 	9003 
A,NR,TOTAL,F,ED8,DE	90313 	95146 	98429 	98828 
A,NR,TOTAL,F,ED8,DK	4747 	4902 	5114 	5370 
A,NR,TOTAL,F,ED8,EE	1285 	1276 	1280 	1302 
A,NR,TOTAL,F,ED8,EL	16120 	15899 	15708 	16995 
A,NR,TOTAL,F,ED8,ES	47984 	49034 	48757 	49953 
A,NR,TOTAL,F,ED8,FI	9947 	10219 	10349 	10570 
A,NR,TOTAL,F,ED8,FR	30868 	31457 	32660 bd	32660 
A,NR,TOTAL,F,ED8,GE	: 	: 	1943 	1943 
A,NR,TOTAL,F,ED8,HR	2229 	2450 	2625 	2742 
